Wurfl_Id,wurfl_device_id,wurfl_fall_back,brand_name,model_name,marketing_name,SubMethod_Displayed,SubMethod_SubscribedTo,SubMethod,Visits,Visits_ToOperatorSelection,Visits_ToOperatorSelectionOnly,Submission_OperatorSelection,Visits_ToLandingPage,Submissions,Subscribers,device_os,device_os_version,release_date,mobile_browser
1098,nokia_1100_ver1,nokia_generic,Nokia,1100,,3,NULL,CLICKTAG,44,0,0,0,44,0,0,,,2002_january,Nokia
1098,nokia_1100_ver1,nokia_generic,Nokia,1100,,NULL,NULL,NULL,7,0,0,0,7,0,0,,,2002_january,Nokia
1125,nokia_1110_ver1,nokia_1108_ver1,Nokia,1110,,3,NULL,CLICKTAG,2,0,0,0,2,0,0,,,2002_january,Nokia
1135,nokia_6133_ver1_sub0520,nokia_6133_ver1,Nokia,6133,,3,NULL,CLICKTAG,2,0,0,0,2,0,0,,,2006_october,Nokia
1147,nokia_e50_ver1_subsafari413,nokia_e50_ver1,Nokia,E50,,NULL,NULL,NULL,1,0,0,0,1,0,0,Symbian OS,9.1,2006_may,Nokia
1147,nokia_e50_ver1_subsafari413,nokia_e50_ver1,Nokia,E50,,3,NULL,CLICKTAG,1,0,0,0,1,0,0,Symbian OS,9.1,2006_may,Nokia
1156,nokia_e61_ver1_sub30106100404,nokia_e61_ver1,Nokia,E61,,3,NULL,CLICKTAG,1,0,0,0,1,0,0,Symbian OS,9.1,2005_october,Nokia
1157,nokia_e61_ver1_submozilla50_sub2,nokia_e61_ver1,Nokia,E61,,3,NULL,CLICKTAG,2,0,0,0,2,0,0,Symbian OS,9.1,2005_october,Nokia
1164,nokia_e65_ver1101063316,nokia_e65_ver1,Nokia,E65,,NULL,NULL,NULL,5,0,0,0,5,0,0,Symbian OS,9.1,2007_february,Nokia
1164,nokia_e65_ver1101063316,nokia_e65_ver1,Nokia,E65,,3,NULL,CLICKTAG,10,0,0,0,10,0,0,Symbian OS,9.1,2007_february,Nokia
1165,nokia_e65_sub106331801,nokia_e65_ver1,Nokia,E65,,NULL,NULL,NULL,1,0,0,0,1,0,0,Symbian OS,9.1,2007_february,Nokia
1167,nokia_e65_ver1_subsafari413,nokia_e65_ver1,Nokia,E65,,NULL,NULL,NULL,3,0,0,0,3,0,0,Symbian OS,9.1,2008_january,Safari
